step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
17,CASH_IN,30048.33,C1747543519,40688.0,70736.33,C216972347,2246500.36,2216452.03,0
42,CASH_OUT,1917497.63,C1510964909,1917497.63,0.0,C580102695,173507.14,2091004.76,1
59,CASH_OUT,1367340.03,C954658479,1367340.03,0.0,C845870432,296833.6,1664173.63,1
33,PAYMENT,14432.29,C2025077066,61467.0,47034.71,M1440417667,0.0,0.0,0
33,PAYMENT,41723.75,C748683095,0.0,0.0,M223978822,0.0,0.0,0
11,CASH_OUT,390313.09,C1373507210,159331.0,0.0,C1073409712,1266724.69,1208079.48,0
20,CASH_IN,29845.71,C690173793,2995308.63,3025154.33,C52242594,52891.53,23045.82,0
42,CASH_OUT,234062.4,C988767360,0.0,0.0,C1621505394,528950.48,763012.87,0
14,CASH_OUT,55017.72,C2092588333,1776.0,0.0,C987987146,310053.02,365070.74,0
10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1
17,CASH_IN,18274.12,C1568457606,71298.27,89572.4,C28125426,11700000.0,13000000.0,0
41,PAYMENT,23221.93,C557049936,168590.8,145368.87,M1576962427,0.0,0.0,0
20,CASH_OUT,197782.27,C1979040857,0.0,0.0,C699679818,7645250.28,7843032.56,0
19,CASH_OUT,141265.17,C777665697,0.0,0.0,C604159813,198927.24,340192.41,0
16,CASH_IN,54411.71,C1863846375,4564115.89,4618527.59,C1663330184,1836188.71,1919609.27,0
34,CASH_OUT,256350.07,C1428520147,0.0,0.0,C216890954,5673913.9,5930263.97,0
40,CASH_IN,96340.32,C1661731801,100548.0,196888.32,C540848208,110172.61,13832.29,0
19,PAYMENT,3635.72,C984122096,50302.0,46666.28,M795931259,0.0,0.0,0
40,CASH_OUT,391897.4,C812767422,21502.97,0.0,C448118992,926887.45,1318784.84,0
36,CASH_OUT,284192.05,C2025289584,132285.51,0.0,C1577729840,2733380.87,3017572.92,0
15,PAYMENT,2044.11,C1279932899,0.0,0.0,M1566403631,0.0,0.0,0
39,CASH_OUT,2070814.27,C1115361466,2070814.27,0.0,C521252518,0.0,2070814.27,1
35,CASH_OUT,724896.67,C239175354,898.0,0.0,C220034328,18048.68,742945.35,0
10,TRANSFER,2826606.78,C1522250303,206470.0,0.0,C1043870161,2040565.58,4867172.36,0
18,PAYMENT,774.34,C38455941,2114.94,1340.6,M834799400,0.0,0.0,0
40,CASH_IN,23226.37,C685799253,8001612.66,8024839.03,C1139186330,44998.51,21772.14,0
38,CASH_OUT,484683.19,C755483800,60403.0,0.0,C789101197,145741.54,630424.72,0
18,TRANSFER,649792.99,C2037423030,0.0,0.0,C1581613896,923206.03,1455529.52,0
19,CASH_IN,151900.24,C1540781283,211836.55,363736.79,C1772406411,3562677.93,3410777.7,0
48,PAYMENT,4491.84,C385155530,305141.0,300649.16,M1894912673,0.0,0.0,0
37,CASH_OUT,93083.27,C517122648,93083.27,0.0,C839403720,2466124.85,2559208.13,1
84,CASH_OUT,296349.8,C1518895613,296349.8,0.0,C315643365,0.0,296349.8,1
44,CASH_OUT,178075.53,C1731811059,0.0,0.0,C1638324881,2011939.85,2190015.37,0
11,PAYMENT,7077.18,C344100559,0.0,0.0,M273043196,0.0,0.0,0
19,PAYMENT,11347.67,C1365180770,0.0,0.0,M1184023523,0.0,0.0,0
35,CASH_OUT,47001.71,C1259103244,0.0,0.0,C336249716,147682.38,194684.09,0
18,PAYMENT,1092.22,C176341272,138401.59,137309.37,M2059472568,0.0,0.0,0
8,CASH_OUT,81310.29,C473623242,0.0,0.0,C1538264524,694385.39,1261284.59,0
46,CASH_OUT,261789.26,C935607287,531.0,0.0,C568527841,0.0,261789.26,0
33,TRANSFER,2362870.72,C1266614010,11624.0,0.0,C2083270556,25049.91,2387920.63,0
37,CASH_OUT,144405.37,C1716675706,160358.0,15952.63,C1138046748,2463419.62,2607824.99,0
10,CASH_OUT,177798.11,C1310049115,0.0,0.0,C377957453,359699.31,537497.42,0
92,TRANSFER,1461930.03,C593029629,1461930.03,0.0,C1743578484,0.0,0.0,1
41,TRANSFER,2885466.96,C739578791,2885466.96,0.0,C1562052816,0.0,0.0,1
45,PAYMENT,6640.47,C1568154999,31475.0,24834.53,M197968279,0.0,0.0,0
18,CASH_OUT,29262.73,C1072322719,617449.0,588186.27,C1079020011,137409.97,166672.7,0
73,CASH_OUT,193663.9,C682644115,193663.9,0.0,C242591003,0.0,193663.9,1
54,TRANSFER,1350574.58,C919766733,1350574.58,0.0,C623650025,0.0,0.0,1
42,PAYMENT,14430.72,C796619958,0.0,0.0,M755937131,0.0,0.0,0
94,CASH_IN,510143.83,C1671421906,1199748.81,1709892.64,C2077103803,5757252.13,5247108.3,0
23,CASH_IN,279959.95,C1441157509,237650.0,517609.95,C2073791055,4291015.16,4011055.21,0
44,CASH_IN,59534.26,C64606869,20434.0,79968.26,C1559058190,160666.71,101132.45,0
66,CASH_OUT,7169129.94,C877157675,7169129.94,0.0,C357180483,0.0,7169129.94,1
34,CASH_OUT,165637.43,C1231414575,21624.0,0.0,C936857833,34300000.0,34500000.0,0
36,TRANSFER,281560.67,C1788950240,431425.0,149864.33,C154927490,0.0,281560.67,0
46,PAYMENT,426.32,C1286110377,110546.59,110120.27,M1629678943,0.0,0.0,0
20,PAYMENT,4114.53,C457741276,206609.65,202495.12,M27558115,0.0,0.0,0
37,CASH_OUT,158332.97,C626737109,0.0,0.0,C1146770980,807410.38,1088400.93,0
37,CASH_OUT,32086.57,C93751647,2004.0,0.0,C1689609980,2164267.21,2196353.79,0
35,CASH_OUT,139720.29,C1596662967,55807.0,0.0,C374669956,9495.01,149215.3,0
44,PAYMENT,5860.14,C1628944295,921.0,0.0,M1438384879,0.0,0.0,0
40,CASH_IN,128242.54,C1387461895,867020.04,995262.58,C12516837,173419.23,45176.69,0
30,CASH_OUT,122235.11,C356571967,122235.11,0.0,C1905066109,0.0,122235.11,1
65,TRANSFER,174923.28,C2041556759,174923.28,0.0,C1497527382,0.0,0.0,1
2,CASH_OUT,18627.02,C175961135,18627.02,0.0,C1711105800,147251.58,165878.6,1
45,CASH_IN,91101.98,C1010058430,5048.0,96149.98,C1689323704,1980460.93,1889358.95,0
9,TRANSFER,2539898.07,C394488466,2539898.07,0.0,C575638324,0.0,261290.69,1
44,CASH_OUT,311550.16,C1942575859,0.0,0.0,C596595229,3432776.8,3744326.96,0
10,CASH_OUT,360081.26,C197263827,0.0,0.0,C145664986,1156483.42,1550748.58,0
42,PAYMENT,15117.77,C699715416,105157.99,90040.22,M1444381713,0.0,0.0,0
34,CASH_IN,170234.08,C1410895046,2723.0,172957.08,C617376203,0.0,0.0,0
43,CASH_OUT,209355.84,C731921067,0.0,0.0,C769659117,2306401.65,2515757.49,0
33,CASH_OUT,139343.23,C860712926,0.0,0.0,C2035044958,4091314.14,4230657.37,0
32,CASH_OUT,404165.06,C254731202,404165.06,0.0,C1749677978,0.0,404165.06,1
16,PAYMENT,526.81,C749186525,474124.47,473597.66,M2090045700,0.0,0.0,0
17,CASH_OUT,67246.34,C573393043,430.0,0.0,C1030928319,0.0,67246.34,0
60,TRANSFER,45807.51,C958487787,45807.51,0.0,C218393296,0.0,0.0,1
44,CASH_OUT,140565.61,C32027994,3010.0,0.0,C460086051,2437699.63,2578265.24,0
12,TRANSFER,150830.02,C721904785,0.0,0.0,C842729010,11400000.0,11700000.0,0
17,CASH_OUT,61852.66,C2136975936,33659.57,0.0,C660505423,260660.62,417513.45,0
26,TRANSFER,369186.87,C1879175902,369186.87,0.0,C900709443,0.0,0.0,1
39,CASH_OUT,176100.6,C659905687,50029.0,0.0,C2097851240,0.0,176100.6,0
26,CASH_OUT,331829.94,C1357985676,331829.94,0.0,C255246845,792855.99,1124685.94,1
14,PAYMENT,6792.0,C1596403405,0.0,0.0,M2143739875,0.0,0.0,0
17,PAYMENT,10296.02,C637072725,23812.25,13516.23,M924166358,0.0,0.0,0
9,CASH_OUT,198751.16,C1179763566,17697.0,0.0,C1860434997,389644.1,812122.97,0
11,PAYMENT,11626.9,C1240703003,0.0,0.0,M287891552,0.0,0.0,0
34,CASH_OUT,51424.22,C1977213426,51424.22,0.0,C1445058573,87252.78,138677.0,1
43,CASH_OUT,357711.24,C773506708,1084.0,0.0,C1389538978,66395.12,424106.36,0
45,CASH_IN,47902.93,C811944828,1262279.01,1310181.94,C28825152,206253.77,158350.84,0
8,TRANSFER,29707.86,C1825456600,29707.86,0.0,C570409417,0.0,0.0,1
14,CASH_IN,189724.85,C247942559,14600000.0,14800000.0,C938496601,1473802.6,2299878.99,0
16,TRANSFER,747586.23,C1438830621,507455.84,0.0,C194302894,10600000.0,11300000.0,0
47,CASH_OUT,61487.67,C2064498880,61487.67,0.0,C1457751793,0.0,61487.67,1
94,CASH_OUT,363378.75,C1736832400,363378.75,0.0,C2124923090,3609871.44,3973250.18,1
17,CASH_OUT,123141.44,C1762844830,0.0,0.0,C82073854,190024.9,291539.81,0
40,CASH_OUT,527090.21,C267137532,608.0,0.0,C290269528,369338.3,1094147.48,0
12,CASH_OUT,19472.0,C1205151454,19472.0,0.0,C664770316,0.0,19472.0,1
26,CASH_OUT,369186.87,C1121219802,369186.87,0.0,C418751321,36224.11,405410.97,1
8,CASH_OUT,39755.39,C1734972358,0.0,0.0,C675203915,4482481.24,5398127.54,0
34,TRANSFER,1462355.44,C2112073607,1462355.44,0.0,C399994587,0.0,0.0,1
22,TRANSFER,37100.29,C362085592,37100.29,0.0,C1652057111,0.0,0.0,1
39,CASH_IN,55128.72,C1434002941,22500000.0,22600000.0,C435365761,3417361.81,3362233.1,0
43,TRANSFER,277130.59,C242001583,0.0,0.0,C193874771,695943.84,973074.43,0
18,PAYMENT,434.14,C575412982,0.0,0.0,M2140943926,0.0,0.0,0
94,CASH_IN,560441.07,C538044432,7073272.83,7633713.91,C268135280,659933.32,99492.25,0
33,TRANSFER,9887819.06,C1548903046,9887819.06,0.0,C2065423383,0.0,0.0,1
14,PAYMENT,12197.01,C1018665659,85515.0,73317.99,M866925712,0.0,0.0,0
17,PAYMENT,18639.19,C660737616,76044.6,57405.41,M788687337,0.0,0.0,0
34,CASH_IN,213073.55,C1905169413,948.0,214021.55,C1189789568,0.0,0.0,0
39,CASH_IN,211878.7,C1613121923,7425021.3,7636900.0,C1248010420,2740292.99,2528414.29,0
14,CASH_OUT,143032.0,C465166521,143032.0,0.0,C487776685,814654.61,1020323.73,1
11,TRANSFER,305983.7,C1372425667,4008.0,0.0,C354628826,54903.33,360887.03,0
14,CASH_IN,91584.93,C460090735,0.0,91584.93,C121576814,22742.0,0.0,0
15,CASH_OUT,2325.05,C1273502398,270768.0,268442.95,C1211946664,0.0,2325.05,0
17,PAYMENT,1309.41,C34481633,88332.0,87022.59,M1851953887,0.0,0.0,0
44,CASH_OUT,338811.12,C613191202,0.0,0.0,C90133972,1177985.46,1516796.59,0
71,CASH_OUT,345526.4,C1313615833,345526.4,0.0,C475338087,210291.99,555818.38,1
42,CASH_OUT,498087.27,C158787992,0.0,0.0,C2057051169,579500.57,1077587.84,0
25,TRANSFER,44829.81,C589374615,44829.81,0.0,C1612426642,0.0,0.0,1
51,CASH_OUT,1170282.92,C555990868,1170282.92,0.0,C1318550066,173264.14,1343547.06,1
45,TRANSFER,95085.44,C239647010,1615.0,0.0,C427264446,171699.9,266785.34,0
14,CASH_IN,235965.22,C2126503999,504152.29,740117.51,C1383942363,6244613.26,6008648.04,0
41,CASH_IN,104702.82,C2126983372,2813000.83,2917703.65,C88318033,524129.91,419427.08,0
6,TRANSFER,33332.86,C2025652936,33332.86,0.0,C1662235713,0.0,0.0,1
84,TRANSFER,39379.45,C1110566935,39379.45,0.0,C1210547818,0.0,0.0,1
42,PAYMENT,15435.45,C151595955,3262.0,0.0,M1957850917,0.0,0.0,0
8,PAYMENT,7728.58,C2052177180,7017.0,0.0,M2140706836,0.0,0.0,0
16,TRANSFER,966804.9,C678774518,106297.0,0.0,C2057450230,216.0,1032431.33,0
44,CASH_OUT,387952.42,C321872585,387952.42,0.0,C401911630,2070655.98,2222177.16,1
20,PAYMENT,11565.01,C1727907892,10338.0,0.0,M656479073,0.0,0.0,0
22,CASH_OUT,461509.86,C2141057802,461509.86,0.0,C802885021,302583.81,764093.67,1
21,CASH_IN,50402.56,C795457881,10190.0,60592.56,C494072608,20144.0,0.0,0
17,CASH_OUT,178021.01,C65215501,125071.0,0.0,C918485243,216636.87,394657.88,0
86,TRANSFER,88649.1,C1043173812,88649.1,0.0,C1425524479,0.0,0.0,1
19,PAYMENT,14071.52,C829836105,0.0,0.0,M1541189025,0.0,0.0,0
46,CASH_OUT,35016.23,C1267520613,35016.23,0.0,C801157832,65435.34,100451.57,1
34,CASH_OUT,379535.57,C1748653407,24273.0,0.0,C1478360567,297773.64,677309.21,0
12,PAYMENT,18065.94,C1274736812,0.0,0.0,M483573807,0.0,0.0,0
14,CASH_IN,34051.03,C122928721,3533564.58,3567615.61,C820422676,4108809.03,4358734.91,0
18,CASH_IN,314793.42,C1344594604,6543221.13,6858014.56,C1972565277,1500078.83,1185285.41,0
12,TRANSFER,935323.95,C1418836547,0.0,0.0,C681692677,1227906.25,2380413.33,0
17,PAYMENT,28134.65,C720333221,24033.97,0.0,M241705895,0.0,0.0,0
94,TRANSFER,2393539.65,C211205523,2393539.65,0.0,C1430994246,0.0,0.0,1
18,CASH_OUT,17015.15,C1442103836,69223.0,52207.85,C1132754645,393083.7,410098.85,0
37,CASH_OUT,112486.46,C124687089,0.0,0.0,C179706450,257274.47,369760.93,1
6,TRANSFER,17246.0,C1034673425,17246.0,0.0,C1379589736,0.0,101717.84,1
9,CASH_OUT,221604.42,C653828676,21526.0,0.0,C1827786059,157071.86,374648.02,0
37,TRANSFER,38263.21,C5915179,13358.0,0.0,C1319509044,1168435.77,1206698.98,0
36,CASH_OUT,202362.05,C431753674,0.0,0.0,C1440457832,5499201.78,5667597.92,0
46,TRANSFER,202019.65,C399302338,29753.0,0.0,C2117300334,458878.45,660898.1,0
9,CASH_OUT,296593.11,C504755615,813935.0,517341.89,C1989592028,0.0,1462502.15,0
19,CASH_OUT,10578.57,C1980148448,113221.0,102642.43,C1909939190,610963.76,621542.33,0
39,TRANSFER,238717.5,C492613437,238717.5,0.0,C74971191,0.0,0.0,1
65,CASH_OUT,403975.39,C435979844,403975.39,0.0,C29687546,0.0,403975.39,1
38,TRANSFER,251862.24,C677718919,0.0,0.0,C1935293965,841414.41,1093276.64,0
40,PAYMENT,8021.1,C1136816723,0.0,0.0,M1235446593,0.0,0.0,0
42,CASH_IN,838.28,C50863636,8641483.54,8642321.83,C2059759600,118368.28,117529.99,0
61,TRANSFER,37720.99,C2113787126,37720.99,0.0,C2003052554,0.0,0.0,1
38,TRANSFER,1146543.06,C1464531872,358984.0,0.0,C1015955362,0.0,1303772.31,0
17,CASH_OUT,126938.06,C1494219432,319132.92,192194.87,C1162171909,8307996.21,9213503.01,0
95,PAYMENT,18496.01,C386351418,12534.0,0.0,M1083126093,0.0,0.0,0
43,CASH_IN,5536.15,C1516763177,3889109.42,3894645.57,C1155050764,164888.0,528251.66,0
10,PAYMENT,3819.14,C239639376,60671.0,56851.86,M780388936,0.0,0.0,0
40,PAYMENT,10171.54,C968719054,44.0,0.0,M1950990429,0.0,0.0,0
20,TRANSFER,43627.23,C779675334,0.0,0.0,C1646718574,84077.0,0.0,0
20,CASH_OUT,118346.05,C298096871,463723.0,345376.95,C1453977143,227651.36,919669.84,0
43,CASH_IN,149152.92,C532400860,52679.0,201831.92,C1098293483,0.0,0.0,0
13,CASH_IN,149024.27,C1446913085,8688.0,157712.27,C476402209,440028.59,321427.51,0
20,CASH_OUT,173291.12,C1204956800,0.0,0.0,C264446611,808030.7,981321.82,0
39,CASH_OUT,7937954.2,C1581001485,7937954.2,0.0,C2012612648,2716480.56,10700000.0,1
33,PAYMENT,26983.65,C395630703,339134.17,312150.52,M1075008239,0.0,0.0,0
56,TRANSFER,136562.78,C1391703729,136562.78,0.0,C1707583711,0.0,0.0,1
18,CASH_OUT,126173.54,C1663494895,0.0,0.0,C1308472584,797689.13,1056929.88,0
33,CASH_OUT,218596.25,C883761055,7537.0,0.0,C849201037,0.0,218596.25,0
22,CASH_OUT,180146.35,C2136195838,0.0,0.0,C1981215192,1760007.56,1940153.91,0
40,PAYMENT,21410.61,C56893723,10434.0,0.0,M1182798105,0.0,0.0,0
61,CASH_OUT,1155128.91,C1202518126,1155128.91,0.0,C1162744412,0.0,1155128.91,1
17,TRANSFER,275308.79,C1158522549,0.0,0.0,C821913200,907149.72,1182458.51,0
14,CASH_OUT,308348.73,C323105129,107139.0,0.0,C1249150953,100146.0,520012.69,0
90,TRANSFER,266746.42,C1640647431,266746.42,0.0,C1995045376,0.0,0.0,1
33,CASH_OUT,99727.5,C1060972913,21129.0,0.0,C1803348615,88581.86,188309.36,0
19,CASH_OUT,26776.49,C1704626606,9615.0,0.0,C987428407,1056893.72,1083670.2,0
34,CASH_OUT,172567.46,C1975724169,300.0,0.0,C2146790998,0.0,94363.31,0
39,CASH_OUT,30785.02,C2003280431,0.0,0.0,C881996915,706757.95,737542.97,0
48,TRANSFER,1151768.91,C1827504525,0.0,0.0,C1280912398,2385358.48,3537127.39,0
18,CASH_IN,258382.78,C2065383627,9759709.19,10000000.0,C791622286,360460.29,189258.38,0
94,PAYMENT,5306.26,C1306098992,0.0,0.0,M1045088741,0.0,0.0,0
22,PAYMENT,965.93,C1447224935,0.0,0.0,M2113734349,0.0,0.0,0
36,CASH_OUT,564006.9,C816828559,103089.0,0.0,C800803718,1106575.65,1670582.55,0
20,PAYMENT,20617.85,C980142872,810829.67,790211.82,M1897698261,0.0,0.0,0
44,CASH_OUT,393556.92,C584890238,0.0,0.0,C1881943115,605964.31,999521.24,0
68,CASH_OUT,281743.12,C47524114,281743.12,0.0,C645628840,158099.98,439843.09,1
42,CASH_OUT,204742.03,C1704468744,0.0,0.0,C1663558666,1279082.23,1483824.26,0
13,TRANSFER,734940.9,C1202201598,144743.0,0.0,C242520397,190750.03,925690.92,0
20,CASH_OUT,16168.98,C1416838343,5268.0,0.0,C1747239046,2865529.63,3285008.05,0
88,TRANSFER,4022408.76,C743505070,4022408.76,0.0,C1234529860,0.0,0.0,1
43,CASH_OUT,103568.63,C1902359374,93771.52,0.0,C974126496,232683.25,336251.88,0
44,CASH_OUT,3981.47,C677731391,0.0,0.0,C553937259,111627.62,115609.09,0
18,CASH_OUT,86607.62,C1935697793,0.0,0.0,C248565961,704385.4,790993.02,0
